pow2n
3.98028E+6020
1.58426E+12041
6.30579E+18061
2.50988E+24082
9.99002E+30102
3.97630E+36123
1.58268E+42144
6.29950E+48164
2.50738E+54185
9.98005E+60205
3.97234E+66226
1.58110E+72247
6.29322E+78267
2.50487E+84288
9.97009E+90308
3.96837E+96329
1.57952E+102350
6.28694E+108370
2.50237E+114391
9.96014E+120411
3.96441E+126432
1.57795E+132453
6.28066E+138473
2.49988E+144494
9.95020E+150514
3.96046E+156535
1.57637E+162556
6.27439E+168576
2.49738E+174597
9.94027E+180617
3.95650E+186638
1.57480E+192659
6.26813E+198679
2.49489E+204700
9.93036E+210720
3.95256E+216741
1.57323E+222762
6.26188E+228782
2.49240E+234803
9.92045E+240823
3.94861E+246844
1.57166E+252865
6.25563E+258885
2.48991E+264906
9.91055E+270926
3.94467E+276947
1.57009E+282968
6.24939E+288988
2.48743E+295009
9.90066E+301029
3.94074E+307050
1.56852E+313071
6.24315E+319091
2.48495E+325112
9.89078E+331132
3.93680E+337153
1.56696E+343174
6.23692E+349194
2.48247E+355215
9.88091E+361235
3.93287E+367256
1.56539E+373277
6.23070E+379297
2.47999E+385318
9.87105E+391338
3.92895E+397359
1.56383E+403380
6.22448E+409400
2.47752E+415421
9.86120E+421441
3.92503E+427462
1.56227E+433483
6.21827E+439503
2.47504E+445524
9.85136E+451544
3.92111E+457565
1.56071E+463586
6.21206E+469606
2.47257E+475627
9.84152E+481647
3.91720E+487668
1.55915E+493689
6.20586E+499709
2.47011E+505730
9.83170E+511750
3.91329E+517771
1.55760E+523792
6.19967E+529812
2.46764E+535833
9.82189E+541853
3.90939E+547874
1.55604E+553895
6.19348E+559915
2.46518E+565936
9.81209E+571956
3.90548E+577977
1.55449E+583998
6.18730E+590018
2.46272E+596039
9.80230E+602059
